Time,X,Y,Z
2.55056,-0.27185,-1.17881,-0.03932
2.56130,-0.24015,-1.22416,-0.10867
2.56853,-0.26839,-1.11043,0.00403
2.57574,-0.30386,-1.17200,-0.05229
2.58289,-0.29629,-1.14287,-0.03651
2.59018,-0.30265,-1.14995,-0.04292
2.59785,-0.28466,-1.14029,-0.02861
2.60550,-0.19329,-1.01011,0.03607
2.61262,-0.16389,-0.95348,0.06697
2.62304,-0.21394,-0.96398,0.04373
2.63342,-0.23946,-0.96745,0.03023
2.63994,-0.24689,-0.91552,0.04970
2.64645,-0.24247,-0.92775,0.03237
2.65295,-0.14317,-0.83908,0.06941
2.66256,-0.17734,-0.86203,0.03221
2.67205,-0.16645,-0.77755,0.00182
2.67826,-0.15837,-0.82316,0.02484
2.68480,-0.17324,-0.81261,-0.00840
2.69477,-0.15526,-0.78292,-0.03543
2.70467,-0.16954,-0.76554,-0.01951
2.71125,-0.16165,-0.79277,0.00219
2.71788,-0.08387,-0.70227,-0.03735
2.72469,-0.13194,-0.68136,-0.00113
2.73477,-0.10502,-0.67541,-0.02964
2.74452,-0.12220,-0.68651,-0.02398
2.75079,-0.07662,-0.62728,0.01868
2.75707,-0.09433,-0.63100,0.01861
2.76677,-0.09963,-0.63734,-0.03545
2.77658,-0.06590,-0.61453,-0.06924
2.78326,-0.04784,-0.58165,-0.04144
2.78998,-0.05299,-0.58332,-0.02193
2.79656,-0.07637,-0.57462,-0.05352
2.80590,-0.05723,-0.55672,-0.12385
2.81506,-0.06266,-0.53987,-0.06204
2.82122,-0.07081,-0.49719,-0.05235
2.82996,-0.03672,-0.48459,-0.02005
2.83827,-0.00324,-0.42021,0.06035
2.84601,-0.03254,-0.42067,0.03156
2.85388,-0.03107,-0.34898,0.07582
2.86227,-0.00470,-0.36242,0.03311
2.87079,-0.00989,-0.33030,-0.02232
2.87985,-0.00477,-0.35646,-0.00295
2.88903,0.03085,-0.34029,-0.03380
2.89518,0.05845,-0.18725,0.08568
2.90156,0.05094,-0.24744,-0.02784
2.91077,0.01413,-0.27152,-0.02930
2.91952,0.07331,-0.27517,-0.03524
2.92768,0.03264,-0.27245,-0.03242
2.93570,0.05508,-0.29550,-0.02322
2.94369,0.08898,-0.25149,-0.03690
2.95155,0.04303,-0.12775,-0.02349
2.95913,0.06316,-0.07440,-0.01158
2.96682,0.04339,-0.05995,0.02777
2.97450,0.06527,-0.13079,-0.00537
2.98204,0.01864,-0.13747,0.01931
2.98931,0.06846,-0.07631,0.02831
2.99916,0.10427,0.00300,-0.09780
3.00653,0.10139,-0.00834,-0.07941
3.01318,0.11618,-0.10312,-0.02957
3.02204,0.03321,0.12248,0.04331
3.03156,0.08267,0.01010,-0.02403
3.03925,0.09434,-0.01611,-0.05896
3.04772,0.12813,-0.03792,-0.06286
3.05661,0.14387,-0.01345,-0.02067
3.06267,0.09799,0.05933,-0.03313
3.07110,0.09015,0.03875,-0.02560
3.07938,0.07375,0.12434,0.03751
3.08512,0.04830,0.29896,0.23009
3.09439,0.13621,0.18259,0.07599
3.10395,0.14383,0.06770,0.05560
3.11040,0.15534,0.04824,0.02360
3.11689,0.15494,0.11436,-0.00847
3.12662,0.09454,0.13396,-0.02737
3.13606,0.09442,0.17827,-0.06610
3.14188,0.08354,0.26107,0.03210
3.15083,0.15073,0.24933,0.00137
3.16022,0.12987,0.13138,0.01141
3.16688,0.13773,0.14614,0.01326
3.17356,0.14133,0.12475,-0.05933
3.18332,0.10037,0.14949,-0.04885
3.19304,0.10927,0.13831,0.04548
3.19968,0.15160,0.23817,0.12673
3.20603,0.19892,0.30424,0.05351
3.21536,0.17008,0.17672,-0.03340
3.22506,0.15853,0.11684,-0.03071
3.23172,0.16002,0.09195,-0.05357
3.23836,0.12892,0.12741,-0.05672
3.24516,0.11043,0.10421,0.01095
3.25532,0.17577,0.26443,0.09564
3.26533,0.19598,0.21355,0.01582
3.27205,0.17592,0.21053,0.01349
3.27881,0.17325,0.16184,-0.01090
3.28551,0.16396,0.20792,-0.00527
3.29239,0.15033,0.21925,0.01136
3.30269,0.15297,0.20977,0.03195
3.31275,0.19193,0.17337,0.03910
3.31878,0.23620,0.22178,0.02552
3.32743,0.19139,0.09314,-0.10242
3.33652,0.18688,0.09794,-0.07845
3.34304,0.16362,0.12475,-0.07834
3.34988,0.17237,0.13719,-0.03651
3.35681,0.18069,0.15914,-0.04951
3.36670,0.19675,0.12208,-0.08824
3.37646,0.21551,0.21052,0.01441
3.38292,0.19472,0.23342,0.08432
3.38904,0.17147,0.21517,0.07219
3.39846,0.21260,0.18838,0.12940
3.40834,0.20295,0.20972,0.19489
3.41505,0.17520,0.36430,0.16340
3.42124,0.07929,0.19529,0.06176
3.42937,0.22353,0.22930,0.04490
3.43866,0.20784,0.18045,0.01549
3.44727,0.22393,0.16333,-0.03801
3.45422,0.23549,0.13001,-0.00928
3.46188,0.21620,0.14362,0.01430
3.46992,0.22849,0.20793,0.11295
3.47787,0.22459,0.23867,0.04074
3.48576,0.24783,0.18546,0.04311
3.49428,0.24122,0.15467,0.04276
3.50370,0.25197,0.08016,-0.01532
3.51143,0.25188,0.07085,-0.02551
3.51957,0.24719,0.17604,0.00449
3.52681,0.25721,0.15032,0.05109
3.53532,0.18433,0.03065,-0.01011
3.54469,0.29008,0.04252,0.00305
3.55088,0.28123,0.00196,0.00481
3.55771,0.27676,0.08049,0.00086
3.56751,0.29215,0.04109,-0.00511
3.57541,0.29039,0.03626,0.08040
3.58413,0.30333,-0.01167,0.04075
3.59328,0.26629,0.12700,0.04973
3.59983,0.24944,0.31256,0.11800
3.60664,0.27912,0.17585,0.02045
3.61369,0.32038,0.03645,0.01566
3.62110,0.30036,0.06394,0.02793
3.62888,0.31266,0.03213,-0.03959
3.63647,0.30979,0.04868,0.01637
3.64695,0.31860,0.06098,0.04547
3.65731,0.33329,0.02083,0.03257
3.66427,0.33128,0.04103,-0.03263
3.67141,0.32800,0.03913,0.01121
3.67890,0.34883,-0.01336,0.01074
3.68639,0.31139,0.02057,0.08103
3.69350,0.32968,0.02016,-0.00932
3.70045,0.36095,-0.06967,-0.00609
3.71109,0.35157,-0.03467,0.02372
3.72200,0.35971,-0.04371,0.01180
3.72968,0.36218,-0.04440,-0.03136
3.73774,0.34370,-0.04163,-0.04038
3.74606,0.36085,-0.02316,-0.06870
3.75376,0.38635,-0.10187,-0.03674
3.76081,0.33201,-0.10123,-0.03464
3.76786,0.38246,-0.07065,0.02516
3.77509,0.37508,-0.05794,0.03387
3.78269,0.39272,-0.13043,0.02921
3.79066,0.38915,-0.13328,-0.06251
3.79895,0.40238,-0.22519,0.01778
3.80747,0.40044,-0.15240,-0.06934
3.81533,0.41647,-0.21434,0.02522
3.82243,0.30426,-0.22619,0.00839
3.82955,0.39573,-0.14488,0.11472
3.83684,0.44098,-0.21123,0.04132
3.84450,0.41002,-0.17011,0.10038
3.85254,0.44319,-0.23250,0.01331
3.86090,0.44353,-0.22589,0.00238
3.86925,0.47794,-0.26771,-0.00261
3.87693,0.45969,-0.30636,-0.02843
3.88409,0.42109,-0.27754,0.03780
3.89143,0.45033,-0.29707,0.06906
3.90285,0.47797,-0.33092,-0.00384
3.91451,0.51330,-0.34725,-0.04547
3.92272,0.50375,-0.37350,0.03952
3.93437,0.48783,-0.41989,0.00298
3.94544,0.48692,-0.41864,-0.00346
3.95276,0.46241,-0.43687,0.01419
3.96017,0.51364,-0.40043,0.07739
3.96757,0.54053,-0.41828,0.01567
3.97516,0.56163,-0.43452,0.04116
3.98312,0.54797,-0.45357,-0.03550
3.99127,0.53421,-0.48175,0.03332
3.99902,0.53885,-0.44704,0.09695
4.00641,0.53494,-0.49493,0.08386
4.01378,0.54189,-0.51925,0.03151
4.02115,0.62221,-0.47977,-0.01545
4.02850,0.57814,-0.42863,0.03525
4.03603,0.57080,-0.51242,0.02236
4.04393,0.59071,-0.54111,0.02767
4.05219,0.58870,-0.55412,0.04809
4.06008,0.59409,-0.53126,0.08598
4.07107,0.64956,-0.54575,-0.05806
4.08202,0.63761,-0.55767,-0.02592
4.08930,0.64397,-0.55849,-0.00641
4.09675,0.65413,-0.60506,0.03555
4.10458,0.65019,-0.65502,0.02924
4.11279,0.65062,-0.62484,-0.02184
4.12064,0.68631,-0.61419,0.01999
4.12776,0.70997,-0.61158,-0.03019
4.13539,0.67325,-0.68621,-0.01466
4.14389,0.69726,-0.73007,0.03333
4.15047,0.69279,-0.79005,-0.00066
4.15749,0.70140,-0.73940,0.01458
4.16731,0.72140,-0.78648,0.02578
4.17491,0.82520,-0.72102,-0.06147
4.18225,0.72135,-0.77535,-0.00659
4.19131,0.72869,-0.78459,-0.03430
4.19969,0.73437,-0.72230,-0.03410
4.20827,0.76187,-0.74089,-0.02833
4.21518,0.65874,-0.64628,0.06546
4.22276,0.75606,-0.74327,-0.00656
4.23050,0.81994,-0.75782,-0.09307
4.23783,0.78219,-0.77558,-0.07263
4.24747,0.77379,-0.80159,-0.02905
4.25501,0.77685,-0.82294,-0.05771
4.26200,0.77764,-0.80018,-0.03119
4.27081,0.85230,-0.84008,-0.03834
4.27990,0.84429,-0.86585,-0.12514
4.28690,0.83340,-0.84975,-0.10146
4.29433,0.79828,-0.83920,-0.00742
4.30213,0.85206,-0.86700,-0.06408
4.31073,0.83827,-0.86524,-0.10057
4.31975,0.81710,-0.83914,0.01522
4.32623,0.87059,-0.85246,-0.04508
4.33302,0.90276,-0.87919,-0.11881
4.34016,0.91601,-0.83150,-0.09188
4.34765,0.88458,-0.78850,-0.01820
4.35552,0.89118,-0.80378,0.00784
4.36344,0.90441,-0.83950,-0.03380
4.37462,0.94212,-0.87784,-0.07275
4.38553,0.88738,-0.88983,-0.13409
4.39278,0.93078,-0.81449,-0.09891
4.40021,0.93800,-0.89372,-0.09908
4.40801,0.95460,-0.84195,-0.03684
4.41621,0.95127,-0.87345,-0.11025
4.42453,0.96242,-0.86683,-0.03506
4.43240,1.00080,-0.89019,-0.13820
4.43971,1.01039,-0.89973,-0.13780
4.44697,0.97892,-0.90830,-0.11482
4.45428,0.93165,-0.91168,-0.08185
4.46146,0.94837,-0.88931,-0.01912
